   20      80
    1       3   326.548051
    1       6   110.431227
    1       7   475.737785
    1       8   363.551744
    1       9   14.206366
    1      15   150.791955
    1      17   447.157201
    1      18   87.679678
    1      19   434.080020
    2       3   186.437574
    2       5   274.697104
    2       9   353.999451
    2      11   16.922514
    2      12   488.860744
    2      14   452.528459
    2      15   66.957610
    2      18   16.098514
    2      20   357.661672
    3       5   353.038118
    3       7   160.100101
    3       8   71.977905
    3      12   200.704978
    3      16   447.553941
    3      17   82.461013
    3      18   88.885159
    3      19   426.633503
    4       5   339.548936
    4       6   97.308267
    4       7   424.619282
    4       8   149.906919
    4      10   110.339671
    4      15   393.520920
    4      16   392.315439
    4      18   208.517716
    5       8   477.309488
    5      12   9.384442
    5      15   74.968719
    5      16   493.926817
    5      18   264.534440
    5      20   68.971831
    6       7   452.391125
    6       8   93.722343
    6      12   186.101871
    6      14   330.927458
    6      15   340.571306
    6      16   246.696371
    6      18   441.740165
    6      19   49.760430
    7       8   143.742180
    7      10   110.354930
    7      11   125.003815
    7      12   149.800104
    7      14   418.805506
    7      19   341.105380
    8      14   444.105350
    8      18   211.386456
    9      11   252.204962
    9      12   486.709189
    9      16   254.890591
    9      19   269.768365
    9      20   449.476608
   10      16   191.442610
   10      19   406.765954
   11      13   426.419874
   11      17   37.156285
   11      18   213.721122
   11      20   400.799585
   12      14   272.865993
   12      16   77.242347
   12      20   256.019776
   13      14   360.393078
   13      15   127.002777
   13      18   294.152654
   14      16   107.608264
   15      19   314.584796
   15      20   81.957457
   16      17   14.160588
   17      20   99.520859
   18      19   293.649098
   18      20   367.366558
