   15     105
    1       2   374.691000
    1       3   119.251076
    1       4   279.702139
    1       5   46.372875
    1       6   461.012604
    1       7   446.913053
    1       8   428.510392
    1       9   29.816584
    1      10   245.445112
    1      11   316.019166
    1      12   373.607593
    1      13   378.032777
    1      14   127.872555
    1      15   454.954680
    2       3   395.992920
    2       4   99.810785
    2       5   276.421400
    2       6   25.620289
    2       7   261.085849
    2       8   395.184179
    2       9   352.076785
    2      10   12.024293
    2      11   365.871151
    2      12   276.680807
    2      13   457.106235
    2      14   437.772759
    2      15   398.464919
    3       4   152.714621
    3       5   197.470016
    3       6   240.943632
    3       7   26.291696
    3       8   325.983459
    3       9   0.427259
    3      10   384.289071
    3      11   378.093814
    3      12   109.866634
    3      13   77.379681
    3      14   28.763695
    3      15   335.306864
    4       5   16.342662
    4       6   172.933134
    4       7   348.933378
    4       8   399.075289
    4       9   218.131046
    4      10   490.859706
    4      11   317.773980
    4      12   147.648549
    4      13   238.486892
    4      14   437.177648
    4      15   39.643544
    5       6   50.492874
    5       7   71.611682
    5       8   71.504868
    5       9   458.998383
    5      10   154.362621
    5      11   186.910611
    5      12   406.918546
    5      13   23.316141
    5      14   407.101657
    5      15   119.998779
    6       7   448.942534
    6       8   128.254036
    6       9   134.678182
    6      10   104.007080
    6      11   114.688559
    6      12   423.078097
    6      13   437.421796
    6      14   443.845943
    6      15   422.391430
    7       8   304.635762
    7       9   20.447401
    7      10   86.764122
    7      11   91.875973
    7      12   177.953429
    7      13   224.631489
    7      14   92.532121
    7      15   447.233497
    8       9   311.517685
    8      10   273.171178
    8      11   455.839717
    8      12   261.299478
    8      13   365.321818
    8      14   499.664296
    8      15   484.664449
    9      10   433.713797
    9      11   420.102542
    9      12   73.335978
    9      13   187.200537
    9      14   142.185736
    9      15   85.482345
   10      11   486.877041
   10      12   370.906705
   10      13   358.302561
   10      14   15.442366
   10      15   322.519608
   11      12   406.353954
   11      13   367.961669
   11      14   409.085360
   11      15   62.318796
   12      13   359.447005
   12      14   187.536241
   12      15   324.915311
   13      14   457.716605
   13      15   444.837794
   14      15   16.083254
